emplid,courseno,instructorid,termid,sectionid,grade
E0866,3115,I24,T05,S21,A
E1150,3115,I24,T05,S21,B
E1160,3115,I24,T05,S21,A-
E1168,3115,I24,T05,S21,A-
E1228,3115,I24,T05,S21,F
E1303,3115,I24,T05,S21,A+
E1343,3115,I24,T05,S21,B
E1351,3115,I24,T05,S21,A
E1477,3115,I24,T05,S21,B
E1482,3115,I24,T05,S21,B
E1565,3115,I24,T05,S21,B
E1620,3115,I24,T05,S21,B
E1639,3115,I24,T05,S21,A
E1686,3115,I24,T05,S21,A
E1688,3115,I24,T05,S21,C
E1825,3115,I24,T05,S21,C
E0162,3115,I21,T05,S26,W
E0175,3115,I21,T05,S26,F
E0184,3115,I21,T05,S26,A+
E0250,3115,I21,T05,S26,B
E0253,3115,I21,T05,S26,W
E0254,3115,I21,T05,S26,C
E0284,3115,I21,T05,S26,A-
E0332,3115,I21,T05,S26,B
E0352,3115,I21,T05,S26,C-
E0378,3115,I21,T05,S26,W
E0419,3115,I21,T05,S26,WU
E0454,3115,I21,T05,S26,W
E0463,3115,I21,T05,S26,W
E0488,3115,I21,T05,S26,W
E0504,3115,I21,T05,S26,F
E0536,3115,I21,T05,S26,F
E0576,3115,I21,T05,S26,W
E0678,3115,I21,T05,S26,C
E0684,3115,I21,T05,S26,A-
E0716,3115,I21,T05,S26,F
E0733,3115,I21,T05,S26,W
E0737,3115,I21,T05,S26,A
E0745,3115,I21,T05,S26,W
E0777,3115,I21,T05,S26,B-
E0779,3115,I21,T05,S26,W
E0793,3115,I21,T05,S26,B
E0872,3115,I21,T05,S26,A-
E0882,3115,I21,T05,S26,C
E0891,3115,I21,T05,S26,B
E0974,3115,I21,T05,S26,C
E1107,3115,I21,T05,S26,A
E1468,3115,I21,T05,S26,A
E1483,3115,I21,T05,S26,A+
E1498,3115,I21,T05,S26,B
E0072,3115,I23,T05,S32,WD
E0185,3115,I23,T05,S32,A
E0212,3115,I23,T05,S32,A
E0218,3115,I23,T05,S32,W
E0247,3115,I23,T05,S32,A
E0257,3115,I23,T05,S32,A
E0402,3115,I23,T05,S32,A
E0427,3115,I23,T05,S32,W
E0429,3115,I23,T05,S32,B-
E0547,3115,I23,T05,S32,W
E0559,3115,I23,T05,S32,B+
E0563,3115,I23,T05,S32,B-
E0640,3115,I23,T05,S32,D
E0641,3115,I23,T05,S32,WU
E0766,3115,I23,T05,S32,B
E0791,3115,I23,T05,S32,B
E0806,3115,I23,T05,S32,B-
E0880,3115,I23,T05,S32,B
E0996,3115,I23,T05,S32,W
E1004,3115,I23,T05,S32,D
E1061,3115,I23,T05,S32,A
E1066,3115,I23,T05,S32,C
E1076,3115,I23,T05,S32,A+
E1146,3115,I23,T05,S32,C
E1184,3115,I23,T05,S32,B+
E1279,3115,I23,T05,S32,A
E1300,3115,I23,T05,S32,A
E1328,3115,I23,T05,S32,B+
E1352,3115,I23,T05,S32,A-
E1386,3115,I23,T05,S32,B
E1460,3115,I23,T05,S32,A+
E1474,3115,I23,T05,S32,A+
E1475,3115,I23,T05,S32,A+
E1508,3115,I23,T05,S32,A
E1597,3115,I23,T05,S32,B+
E0072,3115,I10,T08,S11,F
E0111,3115,I10,T08,S11,B
E0192,3115,I10,T08,S11,F
E0269,3115,I10,T08,S11,A-
E0286,3115,I10,T08,S11,A
E0484,3115,I10,T08,S11,C
E0485,3115,I10,T08,S11,A-
E0499,3115,I10,T08,S11,A+
E0504,3115,I10,T08,S11,B
E0530,3115,I10,T08,S11,B-
E0601,3115,I10,T08,S11,C
E0627,3115,I10,T08,S11,F
E0716,3115,I10,T08,S11,B
E0719,3115,I10,T08,S11,B
E0760,3115,I10,T08,S11,A-
E0772,3115,I10,T08,S11,A-
E0781,3115,I10,T08,S11,A
E0785,3115,I10,T08,S11,B
E0800,3115,I10,T08,S11,A-
E0801,3115,I10,T08,S11,A-
E0849,3115,I10,T08,S11,A+
E0895,3115,I10,T08,S11,B
E0939,3115,I10,T08,S11,B+
E0977,3115,I10,T08,S11,A
E1072,3115,I10,T08,S11,A
E1073,3115,I10,T08,S11,A
E1092,3115,I10,T08,S11,B
E1148,3115,I10,T08,S11,A
E1151,3115,I10,T08,S11,A-
E1165,3115,I10,T08,S11,A
E1228,3115,I10,T08,S11,C
E1385,3115,I10,T08,S11,A+
E1521,3115,I10,T08,S11,B
E1748,3115,I10,T08,S11,W
E1846,3115,I10,T08,S11,A
E0032,3115,I11,T08,S14,A
E0068,3115,I11,T08,S14,W
E0091,3115,I11,T08,S14,A
E0097,3115,I11,T08,S14,C+
E0102,3115,I11,T08,S14,W
E0127,3115,I11,T08,S14,F
E0175,3115,I11,T08,S14,B+
E0209,3115,I11,T08,S14,F
E0273,3115,I11,T08,S14,B
E0296,3115,I11,T08,S14,W
E0299,3115,I11,T08,S14,F
E0303,3115,I11,T08,S14,W
E0337,3115,I11,T08,S14,F
E0539,3115,I11,T08,S14,W
E0692,3115,I11,T08,S14,B+
E0708,3115,I11,T08,S14,W
E0756,3115,I11,T08,S14,B
E0775,3115,I11,T08,S14,A
E0868,3115,I11,T08,S14,A
E0918,3115,I11,T08,S14,F
E0926,3115,I11,T08,S14,A-
E0989,3115,I11,T08,S14,F
E0993,3115,I11,T08,S14,A-
E1051,3115,I11,T08,S14,F
E1212,3115,I11,T08,S14,C+
E1239,3115,I11,T08,S14,F
E1585,3115,I11,T08,S14,B-
E1637,3115,I11,T08,S14,F
E2155,3115,I11,T08,S14,A
E0030,3115,I21,T08,S21,F
E0195,3115,I21,T08,S21,W
E0204,3115,I21,T08,S21,B
E0358,3115,I21,T08,S21,A
E0427,3115,I21,T08,S21,B-
E0436,3115,I21,T08,S21,B-
E0458,3115,I21,T08,S21,A-
E0480,3115,I21,T08,S21,C
E0487,3115,I21,T08,S21,A+
E0502,3115,I21,T08,S21,B+
E0585,3115,I21,T08,S21,F
E0599,3115,I21,T08,S21,W
E0634,3115,I21,T08,S21,B
E0696,3115,I21,T08,S21,WD
E0704,3115,I21,T08,S21,C
E0718,3115,I21,T08,S21,F
E0751,3115,I21,T08,S21,B
E0794,3115,I21,T08,S21,C
E0869,3115,I21,T08,S21,B
E0914,3115,I21,T08,S21,A
E0920,3115,I21,T08,S21,B-
E0956,3115,I21,T08,S21,W
E0968,3115,I21,T08,S21,B
E1112,3115,I21,T08,S21,B-
E1142,3115,I21,T08,S21,C
E1143,3115,I21,T08,S21,A+
E1157,3115,I21,T08,S21,B+
E1163,3115,I21,T08,S21,B-
E1195,3115,I21,T08,S21,A+
E1229,3115,I21,T08,S21,F
E1465,3115,I21,T08,S21,A+
E1492,3115,I21,T08,S21,B
E1509,3115,I21,T08,S21,B+
E1844,3115,I21,T08,S21,B-
E0081,3115,I28,T08,S26,D
E0220,3115,I28,T08,S26,WD
E0260,3115,I28,T08,S26,AUD
E0386,3115,I28,T08,S26,F
E0537,3115,I28,T08,S26,W
E0590,3115,I28,T08,S26,A-
E0614,3115,I28,T08,S26,B-
E0725,3115,I28,T08,S26,B
E0754,3115,I28,T08,S26,C
E0831,3115,I28,T08,S26,W
E0836,3115,I28,T08,S26,WD
E0961,3115,I28,T08,S26,F
E0995,3115,I28,T08,S26,A
E1013,3115,I28,T08,S26,F
E1014,3115,I28,T08,S26,C
E1029,3115,I28,T08,S26,B
E1035,3115,I28,T08,S26,W
E1063,3115,I28,T08,S26,F
E1068,3115,I28,T08,S26,B
E1091,3115,I28,T08,S26,B
E1153,3115,I28,T08,S26,C
E1211,3115,I28,T08,S26,A
E1243,3115,I28,T08,S26,W
E1273,3115,I28,T08,S26,A
E1462,3115,I28,T08,S26,A-
E1503,3115,I28,T08,S26,A
E1582,3115,I28,T08,S26,D
E1658,3115,I28,T08,S26,F
E1836,3115,I28,T08,S26,C
E1845,3115,I28,T08,S26,A
E2210,3115,I28,T08,S26,W
E0261,3115,I06,T08,S32,A
E0290,3115,I06,T08,S32,A
E0304,3115,I06,T08,S32,B
E0372,3115,I06,T08,S32,B+
E0466,3115,I06,T08,S32,A
E0533,3115,I06,T08,S32,D+
E0576,3115,I06,T08,S32,F
E0612,3115,I06,T08,S32,W
E0624,3115,I06,T08,S32,C+
E0640,3115,I06,T08,S32,C-
E0649,3115,I06,T08,S32,C
E0682,3115,I06,T08,S32,C+
E0707,3115,I06,T08,S32,B
E0787,3115,I06,T08,S32,C+
E0947,3115,I06,T08,S32,B
E0981,3115,I06,T08,S32,B
E1047,3115,I06,T08,S32,B
E1049,3115,I06,T08,S32,B+
E1069,3115,I06,T08,S32,A
E1078,3115,I06,T08,S32,B
E1177,3115,I06,T08,S32,F
E1197,3115,I06,T08,S32,C+
E1241,3115,I06,T08,S32,D-
E1260,3115,I06,T08,S32,B
E1387,3115,I06,T08,S32,B
E1388,3115,I06,T08,S32,C
E1505,3115,I06,T08,S32,B
E1558,3115,I06,T08,S32,A
E1599,3115,I06,T08,S32,WD
E1623,3115,I06,T08,S32,B+
E1660,3115,I06,T08,S32,W
E1742,3115,I06,T08,S32,A
E1807,3115,I06,T08,S32,B
E2212,3115,I06,T08,S32,B
E0037,3115,I10,T09,S11,A-
E0043,3115,I10,T09,S11,B
E0115,3115,I10,T09,S11,A
E0180,3115,I10,T09,S11,WD
E0296,3115,I10,T09,S11,B
E0337,3115,I10,T09,S11,A
E0352,3115,I10,T09,S11,B
E0364,3115,I10,T09,S11,A
E0396,3115,I10,T09,S11,A
E0518,3115,I10,T09,S11,A
E0564,3115,I10,T09,S11,B+
E0592,3115,I10,T09,S11,B
E0594,3115,I10,T09,S11,C
E0618,3115,I10,T09,S11,A
E0885,3115,I10,T09,S11,B
E0989,3115,I10,T09,S11,A
E1033,3115,I10,T09,S11,B+
E1051,3115,I10,T09,S11,A
E1063,3115,I10,T09,S11,A
E1098,3115,I10,T09,S11,A
E1108,3115,I10,T09,S11,A
E1124,3115,I10,T09,S11,A
E1177,3115,I10,T09,S11,WU
E1229,3115,I10,T09,S11,A
E1239,3115,I10,T09,S11,C-
E1258,3115,I10,T09,S11,B+
E1347,3115,I10,T09,S11,A
E1442,3115,I10,T09,S11,A
E1507,3115,I10,T09,S11,WD
E1526,3115,I10,T09,S11,A
E1552,3115,I10,T09,S11,A
E2040,3115,I10,T09,S11,A-
E2125,3115,I10,T09,S11,A
E2172,3115,I10,T09,S11,A
E2209,3115,I10,T09,S11,A
E0042,3115,I11,T09,S14,C
E0072,3115,I11,T09,S14,C
E0159,3115,I11,T09,S14,F
E0198,3115,I11,T09,S14,A+
E0209,3115,I11,T09,S14,W
E0216,3115,I11,T09,S14,B-
E0219,3115,I11,T09,S14,W
E0228,3115,I11,T09,S14,B+
E0289,3115,I11,T09,S14,B
E0292,3115,I11,T09,S14,B-
E0367,3115,I11,T09,S14,B
E0438,3115,I11,T09,S14,B+
E0516,3115,I11,T09,S14,B-
E0612,3115,I11,T09,S14,WU
E0677,3115,I11,T09,S14,B
E0686,3115,I11,T09,S14,B-
E0708,3115,I11,T09,S14,F
E0769,3115,I11,T09,S14,C
E0945,3115,I11,T09,S14,C
E0982,3115,I11,T09,S14,B-
E0992,3115,I11,T09,S14,W
E1058,3115,I11,T09,S14,C
E1270,3115,I11,T09,S14,A-
E1275,3115,I11,T09,S14,B
E1378,3115,I11,T09,S14,WU
E1606,3115,I11,T09,S14,B
E1619,3115,I11,T09,S14,B-
E1649,3115,I11,T09,S14,A
E1653,3115,I11,T09,S14,B
E1810,3115,I11,T09,S14,C
E1838,3115,I11,T09,S14,C+
E1975,3115,I11,T09,S14,W
E2099,3115,I11,T09,S14,F
E0005,3115,I27,T09,S24,W
E0030,3115,I27,T09,S24,B
E0054,3115,I27,T09,S24,B+
E0245,3115,I27,T09,S24,W
E0354,3115,I27,T09,S24,B+
E0489,3115,I27,T09,S24,C-
E0577,3115,I27,T09,S24,C-
E0585,3115,I27,T09,S24,F
E0640,3115,I27,T09,S24,B-
E0680,3115,I27,T09,S24,C+
E0918,3115,I27,T09,S24,F
E0933,3115,I27,T09,S24,C-
E0946,3115,I27,T09,S24,F
E0956,3115,I27,T09,S24,F
E1053,3115,I27,T09,S24,A
E1086,3115,I27,T09,S24,B
E1138,3115,I27,T09,S24,F
E1145,3115,I27,T09,S24,B
E1147,3115,I27,T09,S24,F
E1188,3115,I27,T09,S24,A-
E1207,3115,I27,T09,S24,W
E1247,3115,I27,T09,S24,C-
E1288,3115,I27,T09,S24,A+
E1289,3115,I27,T09,S24,B-
E1391,3115,I27,T09,S24,B
E1549,3115,I27,T09,S24,B
E1637,3115,I27,T09,S24,F
E1694,3115,I27,T09,S24,A-
E1768,3115,I27,T09,S24,B
E1806,3115,I27,T09,S24,A+
E2007,3115,I27,T09,S24,W
E2089,3115,I27,T09,S24,B+
E2187,3115,I27,T09,S24,C
E0026,3115,I28,T09,S26,F
E0081,3115,I28,T09,S26,C
E0094,3115,I28,T09,S26,WD
E0133,3115,I28,T09,S26,A-
E0244,3115,I28,T09,S26,A
E0282,3115,I28,T09,S26,A
E0350,3115,I28,T09,S26,B
E0494,3115,I28,T09,S26,W
E0536,3115,I28,T09,S26,F
E0646,3115,I28,T09,S26,D
E0703,3115,I28,T09,S26,W
E0718,3115,I28,T09,S26,B
E0721,3115,I28,T09,S26,W
E0917,3115,I28,T09,S26,B
E1004,3115,I28,T09,S26,F
E1013,3115,I28,T09,S26,D
E1052,3115,I28,T09,S26,W
E1090,3115,I28,T09,S26,A
E1094,3115,I28,T09,S26,C
E1134,3115,I28,T09,S26,W
E1180,3115,I28,T09,S26,WU
E1242,3115,I28,T09,S26,F
E1395,3115,I28,T09,S26,F
E1432,3115,I28,T09,S26,A
E1540,3115,I28,T09,S26,A
E1542,3115,I28,T09,S26,A
E1562,3115,I28,T09,S26,W
E1657,3115,I28,T09,S26,A-
E1662,3115,I28,T09,S26,F
E1669,3115,I28,T09,S26,F
E1702,3115,I28,T09,S26,C
E1729,3115,I28,T09,S26,A
E2174,3115,I28,T09,S26,A
E2311,3115,I28,T09,S26,W
E0160,3115,I23,T09,S31,B+
E0230,3115,I23,T09,S31,C-
E0395,3115,I23,T09,S31,C+
E0413,3115,I23,T09,S31,C
E0455,3115,I23,T09,S31,C
E0460,3115,I23,T09,S31,WU
E0506,3115,I23,T09,S31,B+
E0507,3115,I23,T09,S31,C-
E0547,3115,I23,T09,S31,C+
E0576,3115,I23,T09,S31,F
E0599,3115,I23,T09,S31,WU
E0717,3115,I23,T09,S31,B-
E0746,3115,I23,T09,S31,C-
E0837,3115,I23,T09,S31,B
E0857,3115,I23,T09,S31,C+
E0902,3115,I23,T09,S31,B+
E0951,3115,I23,T09,S31,C-
E1028,3115,I23,T09,S31,B-
E1062,3115,I23,T09,S31,A-
E1103,3115,I23,T09,S31,A-
E1106,3115,I23,T09,S31,A+
E1208,3115,I23,T09,S31,B-
E1250,3115,I23,T09,S31,B
E1271,3115,I23,T09,S31,A-
E1400,3115,I23,T09,S31,A-
E1459,3115,I23,T09,S31,A+
E1466,3115,I23,T09,S31,A
E1485,3115,I23,T09,S31,B+
E1495,3115,I23,T09,S31,A+
E1500,3115,I23,T09,S31,B+
E1501,3115,I23,T09,S31,B-
E1559,3115,I23,T09,S31,B
E1822,3115,I23,T09,S31,A
E2052,3115,I23,T09,S31,A
E2073,3115,I23,T09,S31,A+
E0026,3115,I14,T11,S01,F
E0195,3115,I14,T11,S01,F
E0202,3115,I14,T11,S01,A+
E0209,3115,I14,T11,S01,C+
E0230,3115,I14,T11,S01,B
E0271,3115,I14,T11,S01,A
E0346,3115,I14,T11,S01,A+
E0348,3115,I14,T11,S01,B
E0460,3115,I14,T11,S01,B+
E0468,3115,I14,T11,S01,A-
E0486,3115,I14,T11,S01,A-
E0493,3115,I14,T11,S01,A-
E0571,3115,I14,T11,S01,A-
E0585,3115,I14,T11,S01,B-
E0608,3115,I14,T11,S01,B
E0812,3115,I14,T11,S01,B-
E0913,3115,I14,T11,S01,B
E0915,3115,I14,T11,S01,C+
E0992,3115,I14,T11,S01,B
E1013,3115,I14,T11,S01,B
E1022,3115,I14,T11,S01,A+
E1118,3115,I14,T11,S01,A-
E1186,3115,I14,T11,S01,A+
E1247,3115,I14,T11,S01,A
E1420,3115,I14,T11,S01,A
E1535,3115,I14,T11,S01,A+
E1676,3115,I14,T11,S01,A
E1801,3115,I14,T11,S01,C+
E1820,3115,I14,T11,S01,A+
E0002,3115,I07,T12,S11,B-
E0026,3115,I07,T12,S11,B
E0075,3115,I07,T12,S11,B
E0084,3115,I07,T12,S11,C
E0190,3115,I07,T12,S11,B
E0195,3115,I07,T12,S11,B-
E0323,3115,I07,T12,S11,W
E0340,3115,I07,T12,S11,A
E0387,3115,I07,T12,S11,A
E0437,3115,I07,T12,S11,B-
E0441,3115,I07,T12,S11,C
E0550,3115,I07,T12,S11,B
E0576,3115,I07,T12,S11,A
E0669,3115,I07,T12,S11,A
E0746,3115,I07,T12,S11,A
E0910,3115,I07,T12,S11,W
E0918,3115,I07,T12,S11,B
E0951,3115,I07,T12,S11,A
E0971,3115,I07,T12,S11,B
E1212,3115,I07,T12,S11,WU
E1299,3115,I07,T12,S11,B
E1578,3115,I07,T12,S11,A
E1637,3115,I07,T12,S11,C
E1650,3115,I07,T12,S11,B-
E1773,3115,I07,T12,S11,WU
E1967,3115,I07,T12,S11,B-
E2014,3115,I07,T12,S11,B-
E2066,3115,I07,T12,S11,A-
E2104,3115,I07,T12,S11,A
E2109,3115,I07,T12,S11,B-
E2195,3115,I07,T12,S11,A
E2205,3115,I07,T12,S11,A
E2215,3115,I07,T12,S11,A
E2584,3115,I07,T12,S11,A
E2624,3115,I07,T12,S11,B
E0005,3115,I10,T12,S14,A
E0107,3115,I10,T12,S14,B
E0192,3115,I10,T12,S14,B-
E0240,3115,I10,T12,S14,A
E0262,3115,I10,T12,S14,A
E0394,3115,I10,T12,S14,C
E0417,3115,I10,T12,S14,B+
E0432,3115,I10,T12,S14,A
E0470,3115,I10,T12,S14,C+
E0471,3115,I10,T12,S14,A
E0489,3115,I10,T12,S14,B
E0589,3115,I10,T12,S14,B
E0612,3115,I10,T12,S14,WU
E0623,3115,I10,T12,S14,A
E0708,3115,I10,T12,S14,W
E0848,3115,I10,T12,S14,A
E0892,3115,I10,T12,S14,C
E1057,3115,I10,T12,S14,A
E1256,3115,I10,T12,S14,B
E1461,3115,I10,T12,S14,A
E1493,3115,I10,T12,S14,F
E1562,3115,I10,T12,S14,A
E1580,3115,I10,T12,S14,A
E1669,3115,I10,T12,S14,A
E1817,3115,I10,T12,S14,B
E1834,3115,I10,T12,S14,A
E1996,3115,I10,T12,S14,B
E2069,3115,I10,T12,S14,C
E2099,3115,I10,T12,S14,A
E2225,3115,I10,T12,S14,A+
E2232,3115,I10,T12,S14,F
E2248,3115,I10,T12,S14,A
E2570,3115,I10,T12,S14,A
E2571,3115,I10,T12,S14,B
E2621,3115,I10,T12,S14,A
E0203,3115,I21,T12,S23,F
E0245,3115,I21,T12,S23,F
E0375,3115,I21,T12,S23,WU
E0632,3115,I21,T12,S23,W
E0664,3115,I21,T12,S23,B
E0685,3115,I21,T12,S23,W
E0705,3115,I21,T12,S23,W
E0713,3115,I21,T12,S23,W
E0768,3115,I21,T12,S23,B
E0990,3115,I21,T12,S23,W
E1009,3115,I21,T12,S23,C+
E1027,3115,I21,T12,S23,W
E1104,3115,I21,T12,S23,W
E1134,3115,I21,T12,S23,C
E1176,3115,I21,T12,S23,B-
E1191,3115,I21,T12,S23,B
E1207,3115,I21,T12,S23,A-
E1237,3115,I21,T12,S23,C+
E1284,3115,I21,T12,S23,W
E1318,3115,I21,T12,S23,F
E1344,3115,I21,T12,S23,A+
E1395,3115,I21,T12,S23,B+
E1409,3115,I21,T12,S23,C+
E1599,3115,I21,T12,S23,F
E1790,3115,I21,T12,S23,F
E1852,3115,I21,T12,S23,A
E2021,3115,I21,T12,S23,B+
E2032,3115,I21,T12,S23,C
E2087,3115,I21,T12,S23,F
E2096,3115,I21,T12,S23,A+
E2130,3115,I21,T12,S23,A
E2138,3115,I21,T12,S23,A
E2196,3115,I21,T12,S23,A
E2203,3115,I21,T12,S23,A
E2214,3115,I21,T12,S23,A
E0083,3115,I28,T12,S26,W
E0370,3115,I28,T12,S26,W
E0453,3115,I28,T12,S26,B
E0494,3115,I28,T12,S26,C
E0511,3115,I28,T12,S26,WU
E0763,3115,I28,T12,S26,WU
E0924,3115,I28,T12,S26,WU
E0980,3115,I28,T12,S26,WD
E1004,3115,I28,T12,S26,D
E1008,3115,I28,T12,S26,A
E1016,3115,I28,T12,S26,F
E1356,3115,I28,T12,S26,W
E1361,3115,I28,T12,S26,WU
E1374,3115,I28,T12,S26,A-
E1402,3115,I28,T12,S26,W
E1411,3115,I28,T12,S26,C
E1426,3115,I28,T12,S26,C
E1478,3115,I28,T12,S26,A
E1582,3115,I28,T12,S26,C
E1672,3115,I28,T12,S26,D
E1678,3115,I28,T12,S26,F
E1733,3115,I28,T12,S26,F
E1882,3115,I28,T12,S26,D
E1982,3115,I28,T12,S26,WD
E1988,3115,I28,T12,S26,A
E1999,3115,I28,T12,S26,A
E2011,3115,I28,T12,S26,W
E2037,3115,I28,T12,S26,WD
E2045,3115,I28,T12,S26,WU
E2053,3115,I28,T12,S26,D
E2072,3115,I28,T12,S26,W
E2129,3115,I28,T12,S26,C
E2159,3115,I28,T12,S26,W
E2199,3115,I28,T12,S26,W
E2367,3115,I28,T12,S26,WU
E0061,3115,I15,T12,S31,B-
E0463,3115,I15,T12,S31,W
E0567,3115,I15,T12,S31,B+
E0577,3115,I15,T12,S31,B-
E0599,3115,I15,T12,S31,A-
E0646,3115,I15,T12,S31,A
E0703,3115,I15,T12,S31,A
E0714,3115,I15,T12,S31,A
E0721,3115,I15,T12,S31,W
E0803,3115,I15,T12,S31,F
E0846,3115,I15,T12,S31,B-
E0933,3115,I15,T12,S31,B-
E1011,3115,I15,T12,S31,A
E1019,3115,I15,T12,S31,W
E1050,3115,I15,T12,S31,A+
E1140,3115,I15,T12,S31,C+
E1267,3115,I15,T12,S31,C+
E1324,3115,I15,T12,S31,A+
E1370,3115,I15,T12,S31,A
E1404,3115,I15,T12,S31,A-
E1423,3115,I15,T12,S31,A
E1523,3115,I15,T12,S31,A+
E1658,3115,I15,T12,S31,A-
E1755,3115,I15,T12,S31,A+
E1804,3115,I15,T12,S31,A+
E1842,3115,I15,T12,S31,B+
E2008,3115,I15,T12,S31,B-
E2023,3115,I15,T12,S31,A+
E2083,3115,I15,T12,S31,A-
E2164,3115,I15,T12,S31,A
E2171,3115,I15,T12,S31,B+
E2188,3115,I15,T12,S31,A
E2211,3115,I15,T12,S31,A
E2226,3115,I15,T12,S31,A
E2369,3115,I15,T12,S31,A
E0059,3115,I15,T13,S11,A-
E0152,3115,I15,T13,S11,B-
E0155,3115,I15,T13,S11,C-
E0226,3115,I15,T13,S11,A
E0327,3115,I15,T13,S11,A
E0371,3115,I15,T13,S11,B+
E0375,3115,I15,T13,S11,CR
E0386,3115,I15,T13,S11,A
E0558,3115,I15,T13,S11,A
E0566,3115,I15,T13,S11,CR
E0870,3115,I15,T13,S11,D+
E0924,3115,I15,T13,S11,B
E0928,3115,I15,T13,S11,C+
E1239,3115,I15,T13,S11,B-
E1265,3115,I15,T13,S11,A+
E1318,3115,I15,T13,S11,A-
E1547,3115,I15,T13,S11,CR
E1661,3115,I15,T13,S11,A-
E1918,3115,I15,T13,S11,A
E1924,3115,I15,T13,S11,W
E1932,3115,I15,T13,S11,D-
E2199,3115,I15,T13,S11,CR
E2224,3115,I15,T13,S11,CR
E2232,3115,I15,T13,S11,NC
E2233,3115,I15,T13,S11,CR
E2246,3115,I15,T13,S11,CR
E2252,3115,I15,T13,S11,CR
E2267,3115,I15,T13,S11,CR
E2393,3115,I15,T13,S11,B-
E2633,3115,I15,T13,S11,A
E2690,3115,I15,T13,S11,A+
E0024,3115,I19,T13,S14,FIN
E0090,3115,I19,T13,S14,A+
E0153,3115,I19,T13,S14,W
E0323,3115,I19,T13,S14,W
E0373,3115,I19,T13,S14,B-
E0380,3115,I19,T13,S14,B
E0412,3115,I19,T13,S14,A-
E0803,3115,I19,T13,S14,CR
E0817,3115,I19,T13,S14,B
E0907,3115,I19,T13,S14,NC
E0980,3115,I19,T13,S14,WD
E0999,3115,I19,T13,S14,CR
E1019,3115,I19,T13,S14,CR
E1020,3115,I19,T13,S14,WD
E1040,3115,I19,T13,S14,A-
E1102,3115,I19,T13,S14,CR
E1225,3115,I19,T13,S14,B-
E1248,3115,I19,T13,S14,W
E1334,3115,I19,T13,S14,B
E1356,3115,I19,T13,S14,CR
E1444,3115,I19,T13,S14,B
E1644,3115,I19,T13,S14,B
